,Restrurant Name,Latitude,Longitude
0,KFC - West Mall,1.349661116,103.7495154
1,Ya Kun Family Caf\xc3\xa9 - West Mall,1.350063397,103.7495322
2,Srisun Express - Bukit Batok West Ave 6,1.350602844,103.7456294
3,Starbucks - Westgate,1.333785554,103.7426086
4,Can\'t Stop Eating Toast - Taman Jurong Market \\u0026 Food Centre [#02-59],1.334964957,103.7217484
5,Long John Silver\'s - Westgate,1.334148626,103.7424559
6,Fong Sheng Hao - Westgate,1.334738,103.742613
7,McDonald\'s - JEM,1.333405478,103.7426953
8,Fun Toast - Westgate,1.334245333,103.7432643
9,Ma Mum - Jurong East,1.333999,103.745053
10,Starbucks - Jem,1.333263889,103.7429918
11,Qi Ji - Ng Teng Fong General Hospital,1.3343397,103.7443732
12,Delifrance - Jem #B1-K15/16,1.3333925,103.7431886
13,The Coffee Bean \\u0026 Tea Leaf - JEM,1.333485531,103.7432794
14,The Coffee Bean \\u0026 Tea Leaf - JCube,1.333543205,103.740317
15,Subway - Jurong East Street,1.334801804,103.7440427
16,Subway - Westgate,1.33447,103.742447
17,Mr Bean - Jurong East MRT Station,1.333514143,103.7420202
18,Mr Bean - JEM,1.333499905,103.74333
19,Han\'s Union - JEM,1.3325293,103.7433777
20,Maxx Coffee - JEM,1.332389,103.743362
21,Coffeesmith - Westgate,1.333937,103.742532
22,Ato - Jem,1.3325293,103.7433777
23,BreadTalk - Westgate,1.3338639,103.742541
24,Yong Sheng - Vision Exchange\xf0\x9f\x8f\x8d,1.329899192,103.7446414
25,The Coffee Construct - Vision Exchange,1.329899192,103.7446414
26,Good Coffee Please - Jurong,1.334434053,103.7443345
27,Din Tai Fung - JEM,1.333492428,103.7433098
28,Penang Culture - Jurong,1.333018233,103.7432718
29,Dian Xiao Er - JEM,1.333484,103.743261
30,Sushi Tei - JEM,1.333515716,103.7433047
31,COLLIN\'S\xc2\xae Restaurant - Westgate,1.333845,103.742859
32,Kenny Rogers Roasters - Jem #B1-37/38,1.33348,103.7433424
33,Canton Paradise - Jem,1.3333673,103.7435946
34,Tim Ho Wan - Westgate,1.334138,103.743227
35,Putien - Westgate,1.334179564,103.7433588
36,Paradise Dynasty - Westgate,1.3341773,103.7433296
37,Canton Paradise Noodle \\u0026 Congee - Westgate,1.3342067,103.7433507
38,Tanyu - Westgate,1.334212029,103.7424098
39,A-One Signature - Jurong Gateway Road,1.332529,103.743378
40,He Jia Huan \xe5\x90\x88\xe5\xae\xb6\xe6\xac\xa2 - Vision Exchange,1.330117,103.744712
41,Fish \\u0026 Co. - Westgate,1.3337851,103.7425617
42,Papparich - Westgate,1.333794818,103.7426366
43,Go-Ang Pratunam Chicken Rice - JEM,1.333489372,103.7435583
44,Pizza Hut - Westgate,1.3338593,103.742674
45,Tsui Wah - JEM,1.333051,103.74315
46,WOK HEY - JEM,1.3325293,103.7433777
47,Lao Huo Tang Restaurant - JEM,1.333100572,103.7434204
48,Shake Shack - Westgate,1.334738,103.742613
49,Anjappar Restaurant - West Gate,1.3339315,103.7428578
50,Genki Sushi - Westgate,1.333949649,103.7427597
51,Sanook Kitchen - Jcube,1.333367,103.7404597
52,Don Don Donki - JCube [Islandwide Delivery],1.333315,103.740276
53,Mix \\u0026 Match Malls (Food) - Jurong Gateway,1.334092047,103.7430527
54,Paris Baguette - Jem,1.333243,103.743397
55,Song Fa Bak Kut Teh - JEM #B1-09,1.333389436,103.7437837
56,LeNu - Jem,1.333361867,103.74358
57,Xi\'an Cuisine - Vision Exchange,1.329899,103.744641
58,Baker\'s Brew Studio - JEM,1.3322843,103.7433662
59,Pepper Lunch - Jem,1.333409525,103.7432171
60,Saizeriya - Jcube,1.333127827,103.7403131
61,PastaMania - JEM,1.333209738,103.7432367
62,Shu Xiang Fang \xe8\x9c\x80\xe9\xa6\x99\xe5\x9d\x8a (Sichuan Cuisine) - Ng Teng Fong Hospital,1.334313553,103.7443439
63,Lee Wee \\u0026 Brothers - Jem,1.333445535,103.743528
64,Twyst Pasta - JEM,1.3325293,103.7433777
65,KFC - J Cube,1.333546467,103.7404237
66,Curry Times - Westgate,1.333842,103.742944
67,PastaGo - JCube,1.332907,103.740439
68,The Soup Spoon Union - JEM #B1-K11,1.333317914,103.7435437
69,Nunsaram - Westgate,1.3342603,103.7432608
70,Big Fish Small Fish - Jcube,1.333326168,103.7404088
71,Jinjja Chicken - Westgate,1.333829987,103.7425805
72,Bebek Goreng Pak Ndut - Westgate,1.333979236,103.7424375
73,Burger King - JEM,1.3335139,103.7431717
74,Shi Li Fang - JCube,1.332907,103.740439
75,4Fingers - JEM,1.333578317,103.7436035
76,Rumah Sayang - JEM,1.3331779,103.7434278
77,D\'Penyetz - Jem,1.333391088,103.7433055
78,Maki-San - JEM,1.333681459,103.7434604
79,Crave - JEM,1.333242257,103.7432218
