,Restaurant name,Open Hours,Address
0,Ming Fa Fishball - Upper Thomson Road,['Monday - Sunday 00:00 - 23:59'],"246B Upper Thomson Road, Bishan, 574370"
1,The Roti Prata House,"['Monday - Friday 00:00 - 02:00\n07:00 - 23:59', 'Saturday - Sunday 00:00 - 04:00\n07:00 - 23:59']","246M Upper Thomson Road, Bishan, 574370"
2,Curry House - Upper Thomson Road,"['Monday 00:00 - 02:00\n10:00 - 23:58', 'Tuesday 00:00 - 02:00\n10:00 - 23:59', 'Wednesday - Saturday 00:00 - 01:59\n10:00 - 23:59', 'Sunday 00:00 - 01:59\n09:34 - 23:59']","263 Upper Thomson Road, Bishan, 574390"
3,Huolala Mala Specialist 火辣辣麻辣专家 - Yew Lian Park,"['Monday - Friday 11:00 - 23:59', 'Saturday - Sunday 00:00 - 00:45\n11:00 - 23:59']","205, Upper Thomson Road, Bishan, 574345"
4,Udders - 246D Upper Thomson Road,"['Monday - Thursday 11:30 - 23:00', 'Friday 11:00 - 23:59', 'Saturday 00:00 - 01:00\n11:00 - 23:59', 'Sunday 00:00 - 01:00\n11:00 - 23:00']","246D Upper Thomson Road, Bishan, 574370"
5,The Coffee Bean & Tea Leaf - Upper Thomson Road,['Monday - Sunday 00:00 - 23:59'],"203, Upper Thomson Road, #01-01, Bishan, 574344"
6,Haji Alauddin Kebab & Grill Corner @ Indian/Arabic/Lebanese Cuisine Near to Scotts Road - Goldhill Shopping Centre,['Monday - Sunday 00:00 - 05:00\n08:30 - 23:59'],"159 Thomson Road, Novena, 307612"
7,Chennai House,"['Monday 00:00 - 01:59\n09:38 - 23:59', 'Tuesday 00:00 - 01:59\n09:36 - 23:59', 'Wednesday, Saturday 00:00 - 01:59\n09:35 - 23:59', 'Thursday 00:00 - 01:59\n09:42 - 23:59', 'Friday 00:00 - 01:59\n09:40 - 23:59', 'Sunday 00:00 - 01:59\n09:37 - 23:59']","263, Upper Thomson Road, Bishan, 574390"
8,Pakistani Curry N Biriyani Culture Hub @ Newton Road :: A Pak Indian and Middle Eastern Shawarma Cuisine in Singapore Indian /Curry/Biriyani /Kebab/ Wraps,['Monday - Sunday 00:00 - 05:00\n08:30 - 23:59'],"159 Thomson Road, Novena, 307612"
9,Namaste Curry House - Soo Chow Garden,"['Monday 00:00 - 02:59\n09:30 - 23:59', 'Tuesday 00:00 - 01:59\n09:34 - 23:59', 'Wednesday 00:00 - 01:59\n09:36 - 23:59', 'Thursday - Friday 00:00 - 01:59\n09:37 - 23:59', 'Saturday 00:00 - 01:59\n09:45 - 23:59', 'Sunday 00:00 - 01:59\n09:40 - 23:59']","263, Upper Thomson Road, Bishan, 574390"
10,Shawn's Beernest - Thomson Ridge,"['Monday - Friday 17:00 - 22:30', 'Saturday - Sunday 15:00 - 22:30']","231, Upper Thomson Road, Bishan, 574362"
11,Knockhouse - Upper Thomson Road,"['Monday 10:00 - 16:30', 'Tuesday - Sunday Closed']","185 Upper Thomson Road, Bishan, 574333"
